date,Facebook,Whatsapp,Snapchat,Instagram,Youtube,Messenger,Spotify,Gmail,Shopping_app,Browser_app,Appli_Banque,Transport,Meteo,Jeux,Linkedln
11,290,5.4,0,43.5,152.4,19.82,32.62,0.76,25.6,0.734,0,6.92,0,0,0
12,40.416,12.3,0,117.94,82.1698,14.1231,35.09,2,402.1,34.1,0,3.3,0.169,0.3374,0
13,446.17,29.8,0,77.09,600,48.22,18.1,0,30.408,35.46,0,4.85,0,0,50.3
14,597.05,15.178,0,62.08,100.18,84.34,11.56,5.097,10.8257,58.5359,0.3395,6.76,0.0232,0.2642,28.8
15,50.22,10.02,0,412.33,328,21.62,31,9.6,871.66,200.25,0,13.3,0.549,348.8,0
16,241.03,14.8754,0,40.39,163.6816,38.992,6.01,4.1137,10.2629,12.52,0,1.1,0.89,0,11.252
17,341.25,31.3568,2.3,102.74,80.08,89.73,62.43,15.13,135.0256,51.33,2.76,3.97,72.1,0,19
18,401.4,43.5487,47.9,236.26,65.7654,68.412,7.85,6.132,228.64,69,1.1,4.8,1.4615,0,1.2849
19,203.43,22.18,0,83.04,163.34,9.48,18.43,1.14,18.21,13.21,0,8.32,0,0,0
20,184.43,14.43,0,87.92,103.4,8.86,0,1.72,14.55,16.77,0,5.63,0,0,0
21,334.77,43.4374,0,94.11,0.4512,7.0881,0,2.29,17.01,28.3006,0.216,5.81,0.115,0,0
22,436.6,77.93,0,99.2,223.84,99.12,5.8,4.8,30.34,22.03,0,10.3,0,0,31.9
23,110.23,12.34,0,50.3,29.33,14.38,0,0.43,25.98,450.4,1.2,12.76,0,0,0
24,788.21,21.57,0,89.76,31.64,58.29,4.1,28.87,49.62,580.63,0,18.4,0,0,14.6
25,92.44,37.4979,0,140.31,42.2543,21.77,0,1.26,9.0971,11.3405,0,21.87,0.16,0,0
26,30.34,42.03,0,21.45,2.3,34.5,0,2.33,7.3,204.01,0,24.99,0,0,0
27,178.98,18.23,0,30.56,19.21,12.45,0,1.36,2.91,4.94,2.04,10.09,0,0,0
28,242.51,29.3,0,54.12,24.05,19.03,0,2.15,2.59,5.01,1.56,2.07,0,0,0
29,193.03,24.06,0,49.01,10.21,17.83,0,1.08,8.92,8,0,6.49,0,0,0
30,197.09,12.88,0,21.62,60.59,16.66,0,0.97,4.5,1.52,0,1.56,0,0,0
31,208.4,7.56,0,18.2,7.23,9.12,0,0.12,1.23,0,0,1.2,0,0,0
32,250,,,100,150,,,,200,50,,,,,0
